ID,Profit,Online,Age,Inc,Tenure,District,,CODES,,
205,170,0,5,5,5,1200,,"Online use: 1= Yes, 0=No",,
15680,-43,0,2,7,3.58,1200,,,AGE:,INCOME (000's)
11886,48,0,3,8,6.58,1200,,1,<15,<15
25502,-82,0,3,6,17.33,1200,,2,15-24,15-20
28313,9,0,2,9,5.33,1200,,3,25-34,20-30
2614,64,1,2,3,4.33,1200,,4,35-44,30-40
18050,-3,0,1,1,1.66,1200,,5,45-54,40-50
29539,-20,0,3,8,1.66,1100,,6,55-64,50-75
31320,-3,1,2,5,3.5,1200,,7,>64,75-100
30756,84,0,2,9,8.58,1200,,8,,100-125
25981,103,0,2,4,29.25,1200,,9,,>125
18006,0,0,6,5,16,1300,,,,
19662,-24,0,3,7,1.75,1100,,,,
5328,159,0,2,2,5.66,1200,,,,
7617,255,0,6,6,9.41,1300,,,,
6906,138,0,2,7,1.25,1100,,,,
29136,495,0,3,9,4.66,1200,,,,
5443,305,0,7,3,1.08,1200,,,,
26411,-17,0,7,4,21.08,1200,,,,
28474,39,0,7,1,7,1200,,,,
12839,-1,0,2,6,5.75,1100,,,,
18173,-57,0,4,1,4.66,1100,,,,
1571,-57,1,5,5,17.66,1200,,,,
25754,145,0,3,6,0.41,1200,,,,
16020,-105,0,3,7,3.08,1200,,,,
14550,185,0,6,6,6.5,1200,,,,
22460,166,0,4,7,2.25,1200,,,,
4770,361,0,3,5,8.91,1200,,,,
30815,67,0,3,3,4.25,1200,,,,
3574,491,0,4,6,9.75,1200,,,,
15246,-39,0,5,5,17.5,1100,,,,
11068,-54,0,4,9,8.91,1200,,,,
2907,75,0,5,4,14.66,1200,,,,
2899,-31,0,6,6,1.75,1200,,,,
21600,2,0,3,5,11.5,1200,,,,
3244,1238,1,4,9,12.08,1200,,,,
1424,-1,0,3,2,12.5,1200,,,,
11524,-26,0,3,6,14.16,1200,,,,
28557,546,0,4,9,21.08,1200,,,,
25405,-71,0,5,9,10.16,1200,,,,
3322,-7,0,7,6,15.25,1200,,,,
22928,-18,0,4,5,4.66,1100,,,,
4738,-15,0,4,4,3.16,1200,,,,
3548,293,0,3,9,7.41,1200,,,,
21025,-91,0,4,6,5.41,1200,,,,
20878,-48,0,3,5,3.25,1200,,,,
1074,323,0,3,7,4.66,1300,,,,
21412,254,0,7,1,7.66,1100,,,,
28085,-48,0,3,3,6.75,1200,,,,
11567,-25,0,4,1,10.66,1200,,,,
3608,45,0,5,7,8.83,1200,,,,
24895,-64,0,4,7,17,1100,,,,
4000,1173,0,4,8,15.16,1200,,,,
10632,-30,0,4,3,0.66,1200,,,,
29224,299,0,3,7,5.08,1200,,,,
22899,-38,0,3,4,3.08,1200,,,,
27624,39,0,6,4,6.5,1300,,,,
30199,-34,0,1,7,0.33,1200,,,,
29276,122,1,3,7,1.91,1200,,,,
22961,1,0,5,7,21.5,1200,,,,
20279,-69,1,2,4,2,1200,,,,
16746,-3,0,2,6,3.75,1300,,,,
22738,905,1,5,7,0.33,1200,,,,
22656,368,0,6,9,21.75,1200,,,,
19781,51,0,5,3,1.33,1200,,,,
27097,11,0,7,1,18.91,1200,,,,
19310,443,0,4,3,2.66,1200,,,,
3489,1696,0,7,1,16.91,1300,,,,
6284,-4,0,5,7,8.58,1200,,,,
14677,20,0,2,3,5.41,1200,,,,
21169,-19,0,6,3,8.25,1200,,,,
12232,-7,0,3,7,8.25,1200,,,,
18253,104,0,3,9,4.41,1200,,,,
31584,251,0,3,3,3.75,1200,,,,
23316,-22,0,4,7,2.75,1200,,,,
14806,-141,0,6,2,28.91,1100,,,,
9217,15,0,7,3,9.33,1200,,,,
10723,-39,0,7,4,2.33,1200,,,,
8144,374,0,5,9,6.66,1200,,,,
635,-125,1,7,5,9.75,1200,,,,
6139,58,0,6,2,15.66,1100,,,,
2118,58,0,4,1,7.58,1100,,,,
20124,2,0,7,1,22.08,1300,,,,
5340,17,0,7,3,17.08,1200,,,,
19243,-43,0,2,6,7.91,1200,,,,
13053,-6,0,2,6,6.91,1200,,,,
3352,-112,0,2,5,7.41,1200,,,,
7959,165,1,5,8,6.75,1200,,,,
26456,272,0,4,6,1.5,1200,,,,
27859,-59,0,3,9,17.5,1300,,,,
11960,-9,0,7,2,9.16,1200,,,,
24423,49,0,2,2,13,1200,,,,
28559,701,0,2,6,1.66,1200,,,,
16732,155,1,4,4,7.5,1200,,,,
19656,3,0,4,6,11,1300,,,,
12713,53,0,7,1,5.58,1200,,,,
24380,96,0,7,4,10.33,1200,,,,
29913,817,0,7,6,30.66,1200,,,,
15371,-56,0,7,8,4.91,1200,,,,
1138,95,0,4,5,3.5,1100,,,,
10421,-122,0,7,6,6.91,1200,,,,
22564,-74,0,3,1,4.41,1300,,,,
2345,-2,0,3,6,7.58,1300,,,,
10164,136,0,7,4,22.08,1300,,,,
17561,150,1,1,6,12.16,1200,,,,
12483,673,0,3,8,3.08,1200,,,,
5305,438,0,7,5,10.75,1200,,,,
20143,518,0,4,9,9.08,1200,,,,
18028,29,0,6,3,14.5,1200,,,,
28930,-6,0,7,6,0.75,1200,,,,
14565,166,0,4,9,14.08,1200,,,,
28812,-69,0,1,5,6.83,1300,,,,
21710,841,0,7,1,14.41,1200,,,,
1966,505,0,7,8,12,1200,,,,
27646,-116,0,4,7,6,1200,,,,
10184,425,0,7,4,7.58,1200,,,,
19840,282,0,6,5,7.83,1200,,,,
28544,-8,0,2,8,4.58,1200,,,,
24967,22,0,3,9,3.83,1200,,,,
23239,382,0,5,6,22.08,1300,,,,
17716,-31,0,7,1,22.08,1200,,,,
10469,155,0,5,4,14,1200,,,,
7398,896,0,6,3,29.16,1300,,,,
15820,99,0,4,5,18.58,1100,,,,
12872,873,0,7,5,22.08,1200,,,,
26927,46,1,2,8,6.91,1200,,,,
16351,303,0,5,6,1.16,1200,,,,
