home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year,winner
France,Croatia,4,1.1,NA,2,1.1,NA,Didier Deschamps,Hugo Lloris,Zlatko Dalić,Luka Modrić,Mario Mandžukić (OG) · 18|Antoine Griezmann (P) · 38|Paul Pogba · 59|Kylian Mbappé · 65,Ivan Perišić · 28|Mario Mandžukić · 69,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Björn Kuipers (4th) · Massimiliano Irrati (VAR),2018-07-15,4–2,Néstor Pitana,NA,Final,Russia,2018,France
Belgium,England,2,1.5,NA,0,1,NA,Roberto Martínez,Eden Hazard,Gareth Southgate,Harry Kane,Thomas Meunier · 4|Eden Hazard · 82,NA,64406,"Gazprom Arena, Sankt-Petersburg",Alireza Faghani (Referee) · Reza Sokhandan (AR1) · Mohammadreza Mansouri (AR2) · Malang Diédhiou (4th) · Mark Geiger (VAR),2018-07-14,2–0,Alireza Faghani,NA,Third-place match,Russia,2018,Belgium
Croatia,England,2,1.7,NA,1,0.6,NA,Zlatko Dalić,Luka Modrić,Gareth Southgate,Harry Kane,Ivan Perišić · 68|Mario Mandžukić · 109,Kieran Trippier · 5,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Björn Kuipers (4th) · Danny Makkelie (VAR),2018-07-11,2–1,Cüneyt Çakιr,Required Extra Time,Semi-finals,Russia,2018,Croatia
France,Belgium,1,1.7,NA,0,0.4,NA,Didier Deschamps,Hugo Lloris,Roberto Martínez,Eden Hazard,Samuel Umtiti · 51,NA,64286,"Gazprom Arena, Sankt-Petersburg",Andrés Cunha (Referee) · Nicolás Tarán (AR1) · Mauricio Espinosa (AR2) · César Arturo Ramos (4th) · Massimiliano Irrati (VAR),2018-07-10,1–0,Andrés Cunha,NA,Semi-finals,Russia,2018,France
Sweden,England,0,0.5,NA,2,1,NA,Janne Andersson,Andreas Granqvist,Gareth Southgate,Harry Kane,NA,Harry Maguire · 30|Dele Alli · 59,39991,"Cosmos Arena, Samara",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Antonio Matéu Lahoz (4th) · Danny Makkelie (VAR),2018-07-07,0–2,Björn Kuipers,NA,Quarter-finals,Russia,2018,England
Russia,Croatia,2,1,3,2,1.7,4,Stanislav Cherchesov,Igor Akinfeev,Zlatko Dalić,Luka Modrić,Denis Cheryshev · 31|Mário Fernandes · 115,Andrej Kramarić · 39|Domagoj Vida · 101,44287,"Olimpiyskiy Stadion Fisht, Sochi",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Janny Sikazwe (4th) · Massimiliano Irrati (VAR),2018-07-07,(3) 2–2 (4),Sandro Ricci,Croatia won on penalty kicks following extra time,Quarter-finals,Russia,2018,Draw
Uruguay,France,0,0.9,NA,2,0.5,NA,Óscar Tabárez,Diego Godín,Didier Deschamps,Hugo Lloris,NA,Raphaël Varane · 40|Antoine Griezmann · 61,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Alireza Faghani (4th) · Massimiliano Irrati (VAR),2018-07-06,0–2,Néstor Pitana,NA,Quarter-finals,Russia,2018,France
Brazil,Belgium,1,2.8,NA,2,0.5,NA,Tite,Miranda,Roberto Martínez,Eden Hazard,Renato Augusto · 76,Fernandinho (OG) · 13|Kevin De Bruyne · 32,42873,"Kazan Arena, Kazan",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Jair Marrufo (4th) · Daniele Orsato (VAR),2018-07-06,1–2,Milorad Mažić,NA,Quarter-finals,Russia,2018,Belgium
Sweden,Switzerland,1,1.3,NA,0,0.7,NA,Janne Andersson,Andreas Granqvist,Vladimir Petković,Valon Behrami,Emil Forsberg · 66,Michael Lang · 90+3,64042,"Gazprom Arena, Sankt-Petersburg",Damir Skomina (Referee) · Jure Praprotnik (AR1) · Robert Vukan (AR2) · Nawaf Shukralla (4th) · Daniele Orsato (VAR),2018-07-03,1–0,Damir Skomina,NA,Round of 16,Russia,2018,Sweden
Colombia,England,1,0.6,3,1,2.1,4,José Pekerman,Radamel Falcao,Gareth Southgate,Harry Kane,Yerry Mina · 90+3,Harry Kane (P) · 57,44190,"Otkrytie Arena, Moskva",Mark Geiger (Referee) · Joe Fletcher (AR1) · Frank Anderson (AR2) · Matt Conger (4th) · Danny Makkelie (VAR),2018-07-03,(3) 1–1 (4),Mark Geiger,England won on penalty kicks following extra time,Round of 16,Russia,2018,Draw
