team,score,xg,penalty,manager,captain,goals,Attendance,Venue,Officials,Date,Referee,Notes,Round,Host,Year,home,win
France,4,1.1,NA,Didier Deschamps,Hugo Lloris,Mario Mandžukić (OG) · 18|Antoine Griezmann (P) · 38|Paul Pogba · 59|Kylian Mbappé · 65,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Björn Kuipers (4th) · Massimiliano Irrati (VAR),2018-07-15,Néstor Pitana,NA,Final,Russia,2018,Y,1
Belgium,2,1.5,NA,Roberto Martínez,Eden Hazard,Thomas Meunier · 4|Eden Hazard · 82,64406,"Gazprom Arena, Sankt-Petersburg",Alireza Faghani (Referee) · Reza Sokhandan (AR1) · Mohammadreza Mansouri (AR2) · Malang Diédhiou (4th) · Mark Geiger (VAR),2018-07-14,Alireza Faghani,NA,Third-place match,Russia,2018,Y,1
Croatia,2,1.7,NA,Zlatko Dalić,Luka Modrić,Ivan Perišić · 68|Mario Mandžukić · 109,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Björn Kuipers (4th) · Danny Makkelie (VAR),2018-07-11,Cüneyt Çakιr,Required Extra Time,Semi-finals,Russia,2018,Y,1
France,1,1.7,NA,Didier Deschamps,Hugo Lloris,Samuel Umtiti · 51,64286,"Gazprom Arena, Sankt-Petersburg",Andrés Cunha (Referee) · Nicolás Tarán (AR1) · Mauricio Espinosa (AR2) · César Arturo Ramos (4th) · Massimiliano Irrati (VAR),2018-07-10,Andrés Cunha,NA,Semi-finals,Russia,2018,Y,1
Sweden,0,0.5,NA,Janne Andersson,Andreas Granqvist,NA,39991,"Cosmos Arena, Samara",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Antonio Matéu Lahoz (4th) · Danny Makkelie (VAR),2018-07-07,Björn Kuipers,NA,Quarter-finals,Russia,2018,Y,0
Russia,2,1,3,Stanislav Cherchesov,Igor Akinfeev,Denis Cheryshev · 31|Mário Fernandes · 115,44287,"Olimpiyskiy Stadion Fisht, Sochi",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Janny Sikazwe (4th) · Massimiliano Irrati (VAR),2018-07-07,Sandro Ricci,Croatia won on penalty kicks following extra time,Quarter-finals,Russia,2018,Y,0.5
Uruguay,0,0.9,NA,Óscar Tabárez,Diego Godín,NA,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Alireza Faghani (4th) · Massimiliano Irrati (VAR),2018-07-06,Néstor Pitana,NA,Quarter-finals,Russia,2018,Y,0
Brazil,1,2.8,NA,Tite,Miranda,Renato Augusto · 76,42873,"Kazan Arena, Kazan",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Jair Marrufo (4th) · Daniele Orsato (VAR),2018-07-06,Milorad Mažić,NA,Quarter-finals,Russia,2018,Y,0
Sweden,1,1.3,NA,Janne Andersson,Andreas Granqvist,Emil Forsberg · 66,64042,"Gazprom Arena, Sankt-Petersburg",Damir Skomina (Referee) · Jure Praprotnik (AR1) · Robert Vukan (AR2) · Nawaf Shukralla (4th) · Daniele Orsato (VAR),2018-07-03,Damir Skomina,NA,Round of 16,Russia,2018,Y,1
Colombia,1,0.6,3,José Pekerman,Radamel Falcao,Yerry Mina · 90+3,44190,"Otkrytie Arena, Moskva",Mark Geiger (Referee) · Joe Fletcher (AR1) · Frank Anderson (AR2) · Matt Conger (4th) · Danny Makkelie (VAR),2018-07-03,Mark Geiger,England won on penalty kicks following extra time,Round of 16,Russia,2018,Y,0.5
Brazil,2,2.7,NA,Tite,Thiago Silva,Neymar · 51|Roberto Firmino · 88,41970,"Cosmos Arena, Samara",Gianluca Rocchi (Referee) · Elenito Di Liberatore (AR1) · Mauro Tonolini (AR2) · Antonio Matéu Lahoz (4th) · Massimiliano Irrati (VAR),2018-07-02,Gianluca Rocchi,NA,Round of 16,Russia,2018,Y,1
Belgium,3,2.5,NA,Roberto Martínez,Eden Hazard,Jan Vertonghen · 69|Marouane Fellaini · 74|Nacer Chadli · 90+4,41466,"Rostov Arena, Rostov-na-Donu",Malang Diédhiou (Referee) · Djibril Camara (AR1) · El Hadji Malick Samba (AR2) · Bakary Papa Gassama (4th) · Felix Zwayer (VAR),2018-07-02,Malang Diédhiou,NA,Round of 16,Russia,2018,Y,1
